siteID,domainID,collectDate,year,month,DOC_mgL,TDN_mgL,nitrate_mgL,TDP_mgL,TPC_mgL,TPN_mgL,TPP_mgL,TP_mgL,d13C_perMill,d15N_perMill,DOC_to_TDN_mgL,DOC_to_nitrate_mgL,DOC_to_TDP_mgL,TDN_to_TDP_mgL,TPC_to_TPN_mgL,TPC_to_TPP_mgL,TPN_to_TPP_mgL,DOC_mmolL,TDN_mmolL,TDP_mmolL,TPC_mmolL,TPN_mmolL,TPP_mmolL,DOC_to_TDN_mw,DOC_to_TDP_mw,TDN_to_TDP_mw,TPC_to_TPN_mw,TPC_to_TPP_mw,TPN_to_TPP_mw
MAYF,D08,2015-06-23T14:50:00Z,2015,06,NA,NA,NA,NA,NA,NA,NA,NA,-27.92,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMO,D13,2015-06-25T17:26:00Z,2015,06,5.839,0.1974,0.03535533905932737,7.071067811865475e-4,NA,NA,0.03629289321881345,0.037,NA,NA,29.579533941236072,165.1518598139301,8257.592990696503,279.16575721244897,NA,NA,NA,0.4861377071018234,0.014092953523238382,2.2829043106687786e-5,NA,NA,0.001171721224859994,34.495090493288956,21294.703629492426,617.325634604012,NA,NA,NA
COMO,D13,2015-06-30T16:36:00Z,2015,06,4.916,0.1696,0.03535533905932737,7.071067811865475e-4,NA,NA,NA,7.071067811865475e-4,NA,NA,28.985849056603776,139.04547745252273,6952.273872626136,239.85062017847693,NA,NA,NA,0.4092914828074266,0.012108231598486473,2.2829043106687786e-5,NA,NA,NA,33.80274646039872,17928.543079737072,530.3871713720387,NA,NA,NA
COMO,D13,2015-07-06T17:37:00Z,2015,07,6.561,0.2179,0.163,7.071067811865475e-4,NA,NA,0.03129289321881345,0.032,NA,NA,30.110142267094997,40.25153374233129,9278.655182729877,308.1571352410974,NA,NA,NA,0.546249271501124,0.015556507460555438,2.2829043106687786e-5,NA,NA,0.0010102955129726043,35.113875841745035,23927.821632659663,681.434933030467,NA,NA,NA
ARIK,D10,2015-07-07T18:06:00Z,2015,07,NA,NA,NA,NA,NA,NA,NA,NA,-27.775,5.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KING,D06,2015-07-14T13:20:00Z,2015,07,1.118,0.1883,0.08,7.071067811865475e-4,NA,NA,0.03929289321881345,0.04,NA,NA,5.937334041423261,13.975000000000001,1581.0907627331205,266.2964137948538,NA,NA,NA,0.0930813421030722,0.01344327836081959,2.2829043106687786e-5,NA,NA,0.0012685766519924275,6.924006154209943,4077.321229281132,588.867360668366,NA,NA,NA
POSE,D02,2015-07-14T14:38:00Z,2015,07,1.891,0.3432,0.241,0.018,NA,NA,0.08,0.098,-27.755000000000003,3.71,5.50990675990676,7.846473029045644,105.05555555555557,19.06666666666667,NA,NA,NA,0.15743901423694948,0.02450203469693725,5.811325627946019e-4,NA,NA,0.002582811390198231,6.42554857930347,270.9175570541819,42.16255681682969,NA,NA,NA
COMO,D13,2015-07-15T16:27:00Z,2015,07,5.231,0.2484,0.03535533905932737,0.008,NA,NA,NA,0.008,NA,NA,21.05877616747182,147.95502289547323,653.875,31.05,NA,NA,NA,0.43551744234451756,0.017733990147783252,2.5828113901982307e-4,NA,NA,NA,24.558344665538073,1686.214657397386,68.66157635467981,NA,NA,NA
COMO,D13,2015-07-20T16:20:00Z,2015,07,4.131,0.2381,0.03535533905932737,0.012,NA,NA,NA,0.012,NA,NA,17.34985300293994,116.84232452326515,344.25,19.841666666666665,NA,NA,NA,0.3439347265007078,0.016998643535375172,3.8742170852973466e-4,NA,NA,NA,20.23306893782198,887.7528515527434,43.87633207205921,NA,NA,NA
ARIK,D10,2015-07-21T16:00:00Z,2015,07,NA,NA,NA,NA,NA,NA,NA,NA,-28.59,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMO,D13,2015-07-23T15:51:00Z,2015,07,3.682,0.182,0.03535533905932737,7.071067811865475e-4,NA,NA,0.03529289321881345,0.036,NA,NA,20.23076923076923,104.14268673315473,5207.134336657736,257.3868683519033,NA,NA,NA,0.3065523270335526,0.012993503248375813,2.2829043106687786e-5,NA,NA,0.001139436082482516,23.592738707466875,13428.172420584193,569.1654787129188,NA,NA,NA
COMO,D13,2015-08-03T16:45:00Z,2015,08,3.431,0.157,0.03535533905932737,7.071067811865475e-4,NA,NA,0.00729289321881345,0.008,NA,NA,21.853503184713375,97.0433346500418,4852.166732502089,222.03152929257593,NA,NA,NA,0.2856548164182833,0.011208681373598916,2.2829043106687786e-5,NA,NA,2.3545209591313522e-4,25.485140213827346,12512.780981809985,490.9834074611442,NA,NA,NA
KING,D06,2015-08-04T13:25:00Z,2015,08,0.8263,0.1772,0.096,7.071067811865475e-4,NA,NA,0.05429289321881345,0.055,NA,NA,4.663092550790068,8.607291666666667,1168.5646665888885,250.59864325251243,NA,NA,NA,0.06879527100158189,0.01265081744841865,2.2829043106687786e-5,NA,NA,0.0017528537876545958,5.4380099374670285,3013.497792267441,554.1545210325781,NA,NA,NA
ARIK,D10,2015-08-04T22:42:00Z,2015,08,NA,NA,NA,NA,NA,NA,NA,NA,-31.705,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2015-08-10T13:45:00Z,2015,08,NA,NA,NA,NA,NA,NA,NA,NA,-28.765,5.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2015-08-11T13:00:00Z,2015,08,2.217,0.4116,0.256,0.019,NA,NA,0.096,0.115,-27.485,2.655,5.386297376093294,8.66015625,116.6842105263158,21.663157894736845,NA,NA,NA,0.18458080093247858,0.02938530734632684,6.134177051720798e-4,NA,NA,0.0030993736682378772,6.281397664385877,300.9055646359259,47.904237355006714,NA,NA,NA
KING,D06,2015-08-11T13:27:00Z,2015,08,0.808,0.2034,0.102,7.071067811865475e-4,NA,NA,NA,7.071067811865475e-4,NA,NA,3.9724680432645036,7.921568627450982,1142.684558397461,287.65103858668755,NA,NA,NA,0.06727166763799851,0.014521310773184836,2.2829043106687786e-5,NA,NA,NA,4.632616758138865,2946.7580977273296,636.0893317044378,NA,NA,NA
ARIK,D10,2015-08-18T18:24:00Z,2015,08,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMO,D13,2015-08-24T17:55:00Z,2015,08,NA,NA,NA,NA,NA,NA,NA,NA,-26.78,3.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2015-08-25T12:54:00Z,2015,08,NA,NA,NA,NA,NA,NA,NA,NA,-27.92,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIK,D10,2015-08-31T17:22:00Z,2015,08,NA,NA,NA,NA,NA,NA,NA,NA,-32.23,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2015-09-01T13:34:00Z,2015,09,NA,NA,NA,NA,NA,NA,NA,NA,-27.3,4.609999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMO,D13,2015-09-10T19:10:00Z,2015,09,NA,NA,NA,NA,NA,NA,NA,NA,-26.39,3.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2015-09-15T13:25:00Z,2015,09,NA,NA,NA,NA,NA,NA,NA,NA,-27.945,1.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMO,D13,2015-09-22T17:56:00Z,2015,09,NA,NA,NA,NA,NA,NA,NA,NA,-26.175,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIK,D10,2015-09-24T18:40:00Z,2015,09,NA,NA,NA,NA,NA,NA,NA,NA,-28.465,3.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIK,D10,2015-10-06T17:00:00Z,2015,10,NA,NA,NA,NA,NA,NA,NA,NA,-26.38,8.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2015-10-20T12:45:00Z,2015,10,NA,NA,NA,NA,NA,NA,NA,NA,-28.08,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
